query_id	target_id	target_type	relevance
uca:video_class:0001	uca_ucfcrime:Train:Abuse001_x264:10.1	clip	3
uca:video_class:0001	uca_ucfcrime:Train:Abuse015_x264:104.6	clip	3
uca:video_class:0001	uca_ucfcrime:Train:Abuse017_x264:19.0	clip	3
uca:video_class:0001	uca_ucfcrime:Train:Abuse017_x264:35.6	clip	3
uca:video_class:0001	uca_ucfcrime:Train:Abuse018_x264:51.0	clip	3
uca:video_class:0001	uca_ucfcrime:Train:Abuse018_x264:65.3	clip	3
uca:video_class:0001	uca_ucfcrime:Train:Abuse024_x264:23.4	clip	3
uca:video_class:0001	uca_ucfcrime:Train:Abuse031_x264:23.8	clip	3
uca:video_class:0001	uca_ucfcrime:Val:Abuse044_x264:36.2	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse001_x264:22.5	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse003_x264:40.8	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse006_x264:37.5	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse009_x264:19.2	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse013_x264:3.4	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse015_x264:104.6	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse017_x264:19.0	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse017_x264:35.6	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse018_x264:6.2	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse018_x264:51.0	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse019_x264:74.3	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse019_x264:127.2	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse020_x264:7.4	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse023_x264:4.8	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse024_x264:27.5	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse028_x264:3.7	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse033_x264:56.0	clip	3
uca:video_class:0002	uca_ucfcrime:Train:Abuse033_x264:80.9	clip	3
uca:video_class:0002	uca_ucfcrime:Test:Abuse038_x264:5.4	clip	3
uca:video_class:0002	uca_ucfcrime:Test:Abuse040_x264:42.3	clip	3
uca:video_class:0002	uca_ucfcrime:Test:Abuse040_x264:63.9	clip	3
uca:video_class:0002	uca_ucfcrime:Test:Abuse040_x264:94.0	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse043_x264:40.5	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse044_x264:74.8	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse044_x264:127.2	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse045_x264:6.0	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse045_x264:46.0	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse046_x264:7.4	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse046_x264:17.9	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse047_x264:5.4	clip	3
uca:video_class:0002	uca_ucfcrime:Val:Abuse047_x264:19.6	clip	3
