scoring,replicate,recall_at_10,mrr,ndcg_at_10
strict,0,0.004935745937757035,0.12604408866658381,0.03750152768704524
strict,1,0.003222054821684165,0.07892379660555955,0.027363634122656383
strict,2,0.0034313234451437066,0.08287623966829334,0.03080073223038863
strict,3,0.005884457238680462,0.0913601950962632,0.03504191143736789
strict,4,0.0032833736088770334,0.0687569611864445,0.02441487541817831
strict,5,0.005561545494323387,0.11796877894555516,0.04084388159430309
strict,6,0.0033578280908998204,0.10202203328320845,0.03276323341249796
strict,7,0.004293151305033323,0.1064399698123055,0.03581143502399767
strict,8,0.002184908662741771,0.08453896697258731,0.026987541120205273
strict,9,0.004172268804335254,0.09203090074210606,0.03194793981025462
strict,10,0.005174853074154003,0.09237148303268665,0.0259367903777332
strict,11,0.004838065164171257,0.09759252334760926,0.028395770415571384
strict,12,0.003336938543098545,0.10437180995529946,0.032009919768865254
strict,13,0.006051423675395689,0.10956746394168261,0.03776883445552236
strict,14,0.00219788920072163,0.0776006683304519,0.01906613243738073
strict,15,0.0020374876119448565,0.054166949823449856,0.02130607217141647
strict,16,0.003827815713710158,0.11377926624113095,0.03901140667329585
strict,17,0.005385351061672106,0.09816610904738737,0.032484657111828096
strict,18,0.004075552491703583,0.11844849860056561,0.03400480107996388
strict,19,0.010148963125916358,0.13538759927674943,0.04358019606700935
strict,20,0.005129470360824999,0.1067859840217006,0.037943156291530965
strict,21,0.0028676136685155786,0.07749762707069774,0.025855681283561992
strict,22,0.002610541638486073,0.05767898505914332,0.019290082329151654
strict,23,0.006002087044678336,0.10113214032719593,0.036325995242579213
strict,24,0.0037155672676424173,0.10330015870465835,0.032246053497999506
strict,25,0.00454779663177943,0.08046996334050072,0.028784485786366814
strict,26,0.005222671954919683,0.0965767003669817,0.03407194377587897
strict,27,0.002831988113109034,0.07631994064702803,0.02621197185314561
strict,28,0.004576697840977113,0.10887251871741394,0.03356167319557318
strict,29,0.00595887674358094,0.1029983156326065,0.040573181621365716
strict,30,0.0033111349743151232,0.09701864912170534,0.030826466483134266
strict,31,0.0020710747827019683,0.11619443805845579,0.03690601076315972
strict,32,0.003476058286534342,0.09120924239164563,0.03052227084932392
strict,33,0.005015050655777651,0.09197456003486568,0.036634068091438744
