scoring,replicate,mean_ndcg_at_10
strict,0,0.03497777728268849
strict,1,0.02584579701700433
strict,2,0.026252268111591193
strict,3,0.02616523354869387
strict,4,0.030878712939748663
strict,5,0.02770299705945442
strict,6,0.030028157871233675
strict,7,0.044523033144200946
strict,8,0.03129946536041199
strict,9,0.022327649191345868
strict,10,0.03280947759391708
strict,11,0.02676602161964691
strict,12,0.03487683613329814
strict,13,0.025888303146815637
strict,14,0.026358747577394467
strict,15,0.021536018049146854
strict,16,0.022966550874071987
strict,17,0.03877488589284942
strict,18,0.01614162929427047
strict,19,0.03460679654281085
strict,20,0.027680869706699716
strict,21,0.0251879921363277
strict,22,0.03000168886496339
strict,23,0.02118581224616082
strict,24,0.02092677243635922
strict,25,0.02989463959217146
strict,26,0.022221350401301767
strict,27,0.037980708777937675
strict,28,0.04030991310985454
strict,29,0.037486265818486006
strict,30,0.031915418214550226
strict,31,0.04433246924742736
strict,32,0.03963066132974692
strict,33,0.025505102818874463
strict,34,0.031602526587296204
strict,35,0.04101500830039417
strict,36,0.04550590171278022
strict,37,0.03019976442865229
strict,38,0.03376052882761051
strict,39,0.033819704750650464
strict,40,0.028410935837130686
strict,41,0.040353478498206974
strict,42,0.0349300923610624
strict,43,0.03624720300932674
strict,44,0.03687275984408371
strict,45,0.03330599507856732
strict,46,0.018690849581528834
strict,47,0.03435724695695723
strict,48,0.046138822267148126
strict,49,0.030099444541836124
strict,50,0.025712951629737055
strict,51,0.02466402676687196
strict,52,0.022133556005092002
strict,53,0.03277994105282973
strict,54,0.028053621043754955
strict,55,0.034946088629655134
strict,56,0.03114851305357434
strict,57,0.022469189794443994
strict,58,0.03214041727368284
strict,59,0.05397491507057109
strict,60,0.04446981052678037
strict,61,0.03001351648554501
strict,62,0.03567987579087458
strict,63,0.046945658327556886
strict,64,0.03907123377519564
strict,65,0.029265959619982986
strict,66,0.034791672266834904
strict,67,0.029433431754871824
strict,68,0.04421987956206399
strict,69,0.03022577383265565
strict,70,0.050833939511971606
strict,71,0.031308657863407356
strict,72,0.027211582973544403
strict,73,0.028740922120603078
strict,74,0.04477705454427382
strict,75,0.03879874788853742
strict,76,0.03440754485249649
strict,77,0.025703377831124256
strict,78,0.030577411741932726
strict,79,0.034011600630375324
strict,80,0.0388824100661389
strict,81,0.03520361230617518
strict,82,0.031837730205140045
strict,83,0.044080422985809435
strict,84,0.03796003886256636
strict,85,0.032553069103985276
strict,86,0.036379870847968725
strict,87,0.027582803003478266
strict,88,0.03842462840255845
strict,89,0.019464885939177196
strict,90,0.026815433426868825
strict,91,0.03987162364792196
strict,92,0.032567917312763116
strict,93,0.02181395512409511
strict,94,0.04403254207452867
strict,95,0.03694020584600804
strict,96,0.04303932875078607
strict,97,0.036879554201067366
strict,98,0.02336783022221569
strict,99,0.02583877556945281
strict,100,0.03523948492281083
strict,101,0.03749901853358242
strict,102,0.04257587649437273
strict,103,0.02536228967363003
strict,104,0.03511440749269877
strict,105,0.03870742243017388
strict,106,0.037513406170509266
strict,107,0.028922717369223094
strict,108,0.032112597926677235
strict,109,0.025481592517482988
strict,110,0.031045304195577064
strict,111,0.03748434324814161
strict,112,0.03545238090198789
strict,113,0.03397945003147279
strict,114,0.034483502170402656
strict,115,0.048047512817011244
strict,116,0.03455428856826973
strict,117,0.035477762273419325
strict,118,0.030376584669503104
strict,119,0.03813692729503748
strict,120,0.029024814990492864
strict,121,0.04266443886852024
strict,122,0.04416111007936197
strict,123,0.036235236035028165
strict,124,0.035472250237145606
strict,125,0.03780903951277911
strict,126,0.034533568240773145
strict,127,0.04410931346176996
strict,128,0.0386846602060158
strict,129,0.029990695748197273
strict,130,0.03824314405589636
strict,131,0.030147614662775327
strict,132,0.0354528089481049
strict,133,0.026449440708029903
strict,134,0.02803541745408279
strict,135,0.028299954085172812
strict,136,0.03136561614591667
strict,137,0.0316493353686528
strict,138,0.036435054504162935
strict,139,0.029459443756481227
strict,140,0.02367971359366751
strict,141,0.036450356666543185
strict,142,0.026781507807966645
strict,143,0.038482984601803064
strict,144,0.031243070199941016
strict,145,0.031090233517667303
strict,146,0.022400923628792434
strict,147,0.03528124297538876
strict,148,0.028046750209376706
strict,149,0.026514667020033328
strict,150,0.04558488899240719
strict,151,0.0323659879273255
strict,152,0.03654428695660607
strict,153,0.040683720299221786
strict,154,0.04006876208629555
strict,155,0.05080531092698671
strict,156,0.055471622489573616
strict,157,0.038885968386963406
strict,158,0.038593516594708804
strict,159,0.039103862032518144
strict,160,0.03849697690426951
strict,161,0.03139494077225948
strict,162,0.04099585852428563
strict,163,0.03189213714908897
strict,164,0.02920002885908263
strict,165,0.03853947664001195
strict,166,0.035680372835997294
strict,167,0.026427915046348657
strict,168,0.04232835011946167
strict,169,0.030747986546493515
strict,170,0.04069854114544792
strict,171,0.04648738779812096
strict,172,0.027479250416158056
strict,173,0.02657875806035958
strict,174,0.03979497288680069
strict,175,0.037267715407064556
strict,176,0.02221151171886163
strict,177,0.029004356729566565
strict,178,0.01783580838417266
strict,179,0.041533128089427586
strict,180,0.03437804246989226
strict,181,0.034871980716614265
strict,182,0.03217310120630231
strict,183,0.0368606917768613
strict,184,0.03248237053145381
strict,185,0.04300164255172665
strict,186,0.022723825673728052
strict,187,0.035915110126295384
strict,188,0.030930176477049397
